epoch=1 train_f1=0.1258
epoch=2 train_f1=0.3332
epoch=3 train_f1=0.4110
epoch=4 train_f1=0.4636
epoch=5 train_f1=0.5094
epoch=6 train_f1=0.5246
epoch=7 train_f1=0.5769
epoch=8 train_f1=0.5848
epoch=9 train_f1=0.6404
epoch=10 train_f1=0.7424
epoch=11 train_f1=0.7552
epoch=12 train_f1=0.8710
epoch=13 train_f1=0.8868
epoch=14 train_f1=0.8631
epoch=15 train_f1=0.8898
epoch=16 train_f1=0.9208
epoch=17 train_f1=0.9004
epoch=18 train_f1=0.9278
epoch=19 train_f1=0.9366
epoch=20 train_f1=0.9370
epoch=21 train_f1=0.9509
epoch=22 train_f1=0.9387
epoch=23 train_f1=0.9547
epoch=24 train_f1=0.9683
epoch=25 train_f1=0.9638
epoch=26 train_f1=0.9535
epoch=27 train_f1=0.9627
epoch=28 train_f1=0.9559
epoch=29 train_f1=0.9753
epoch=30 train_f1=0.9638
epoch=31 train_f1=0.9615
epoch=32 train_f1=0.9671
epoch=33 train_f1=0.9648
epoch=34 train_f1=0.9513
epoch=35 train_f1=0.9688
epoch=36 train_f1=0.9697
epoch=37 train_f1=0.9606
epoch=38 train_f1=0.9688
epoch=39 train_f1=0.9639
epoch=40 train_f1=0.9663
epoch=41 train_f1=0.9687
epoch=42 train_f1=0.9731
epoch=43 train_f1=0.9860
epoch=44 train_f1=0.9883
epoch=45 train_f1=0.9809
epoch=46 train_f1=0.9800
epoch=47 train_f1=0.9696
epoch=48 train_f1=0.9774
epoch=49 train_f1=0.9927
epoch=50 train_f1=0.9804
