epoch=1 train_f1=0.1881
epoch=2 train_f1=0.3409
epoch=3 train_f1=0.4072
epoch=4 train_f1=0.4460
epoch=5 train_f1=0.5075
epoch=6 train_f1=0.5227
epoch=7 train_f1=0.5848
epoch=8 train_f1=0.6123
epoch=9 train_f1=0.6244
epoch=10 train_f1=0.6786
epoch=11 train_f1=0.6960
epoch=12 train_f1=0.7304
epoch=13 train_f1=0.7813
epoch=14 train_f1=0.8577
epoch=15 train_f1=0.8494
epoch=16 train_f1=0.8600
epoch=17 train_f1=0.8490
epoch=18 train_f1=0.9276
epoch=19 train_f1=0.9204
epoch=20 train_f1=0.8873
epoch=21 train_f1=0.9330
epoch=22 train_f1=0.9255
epoch=23 train_f1=0.9500
epoch=24 train_f1=0.9467
epoch=25 train_f1=0.9587
epoch=26 train_f1=0.9252
epoch=27 train_f1=0.9398
epoch=28 train_f1=0.9482
epoch=29 train_f1=0.9519
epoch=30 train_f1=0.9555
epoch=31 train_f1=0.9537
epoch=32 train_f1=0.9659
epoch=33 train_f1=0.9615
epoch=34 train_f1=0.9604
epoch=35 train_f1=0.9630
epoch=36 train_f1=0.9846
epoch=37 train_f1=0.9725
epoch=38 train_f1=0.9702
epoch=39 train_f1=0.9806
epoch=40 train_f1=0.9791
epoch=41 train_f1=0.9689
epoch=42 train_f1=0.9757
epoch=43 train_f1=0.9726
epoch=44 train_f1=0.9623
epoch=45 train_f1=0.9879
epoch=46 train_f1=0.9780
epoch=47 train_f1=0.9768
epoch=48 train_f1=0.9861
epoch=49 train_f1=0.9813
epoch=50 train_f1=0.9879
