epoch=1 train_f1=0.1486
epoch=2 train_f1=0.2626
epoch=3 train_f1=0.3848
epoch=4 train_f1=0.4364
epoch=5 train_f1=0.4899
epoch=6 train_f1=0.5078
epoch=7 train_f1=0.5452
epoch=8 train_f1=0.5779
epoch=9 train_f1=0.5969
epoch=10 train_f1=0.6612
epoch=11 train_f1=0.6765
epoch=12 train_f1=0.7354
epoch=13 train_f1=0.7130
epoch=14 train_f1=0.8568
epoch=15 train_f1=0.8533
epoch=16 train_f1=0.8466
epoch=17 train_f1=0.8638
epoch=18 train_f1=0.9019
epoch=19 train_f1=0.9215
epoch=20 train_f1=0.9069
epoch=21 train_f1=0.9194
epoch=22 train_f1=0.9394
epoch=23 train_f1=0.9407
epoch=24 train_f1=0.9137
epoch=25 train_f1=0.9467
epoch=26 train_f1=0.9477
epoch=27 train_f1=0.9450
epoch=28 train_f1=0.9425
epoch=29 train_f1=0.9515
epoch=30 train_f1=0.9698
epoch=31 train_f1=0.9376
epoch=32 train_f1=0.9560
epoch=33 train_f1=0.9591
epoch=34 train_f1=0.9605
epoch=35 train_f1=0.9695
epoch=36 train_f1=0.9815
epoch=37 train_f1=0.9707
epoch=38 train_f1=0.9670
epoch=39 train_f1=0.9815
epoch=40 train_f1=0.9663
epoch=41 train_f1=0.9763
epoch=42 train_f1=0.9674
epoch=43 train_f1=0.9768
epoch=44 train_f1=0.9682
epoch=45 train_f1=0.9835
epoch=46 train_f1=0.9712
epoch=47 train_f1=0.9756
epoch=48 train_f1=0.9804
epoch=49 train_f1=0.9868
epoch=50 train_f1=0.9729
