epoch=1 train_f1=0.1268
epoch=2 train_f1=0.2244
epoch=3 train_f1=0.3815
epoch=4 train_f1=0.4666
epoch=5 train_f1=0.4954
epoch=6 train_f1=0.5401
epoch=7 train_f1=0.5751
epoch=8 train_f1=0.6177
epoch=9 train_f1=0.6475
epoch=10 train_f1=0.6930
epoch=11 train_f1=0.7078
epoch=12 train_f1=0.7542
epoch=13 train_f1=0.8515
epoch=14 train_f1=0.8842
epoch=15 train_f1=0.8744
epoch=16 train_f1=0.8533
epoch=17 train_f1=0.9267
epoch=18 train_f1=0.9117
epoch=19 train_f1=0.8810
epoch=20 train_f1=0.9471
epoch=21 train_f1=0.9399
epoch=22 train_f1=0.9505
epoch=23 train_f1=0.9314
epoch=24 train_f1=0.9513
epoch=25 train_f1=0.9721
epoch=26 train_f1=0.9768
epoch=27 train_f1=0.9535
epoch=28 train_f1=0.9472
epoch=29 train_f1=0.9473
epoch=30 train_f1=0.9637
epoch=31 train_f1=0.9702
epoch=32 train_f1=0.9749
epoch=33 train_f1=0.9603
epoch=34 train_f1=0.9709
epoch=35 train_f1=0.9673
epoch=36 train_f1=0.9782
epoch=37 train_f1=0.9582
epoch=38 train_f1=0.9707
epoch=39 train_f1=0.9602
epoch=40 train_f1=0.9777
epoch=41 train_f1=0.9619
epoch=42 train_f1=0.9738
epoch=43 train_f1=0.9772
epoch=44 train_f1=0.9840
epoch=45 train_f1=0.9715
epoch=46 train_f1=0.9794
epoch=47 train_f1=0.9948
epoch=48 train_f1=0.9790
epoch=49 train_f1=0.9817
epoch=50 train_f1=0.9823
