epoch=1 train_f1=0.1224
epoch=2 train_f1=0.2043
epoch=3 train_f1=0.3455
epoch=4 train_f1=0.4311
epoch=5 train_f1=0.4992
epoch=6 train_f1=0.5471
epoch=7 train_f1=0.5813
epoch=8 train_f1=0.6035
epoch=9 train_f1=0.6427
epoch=10 train_f1=0.6728
epoch=11 train_f1=0.7016
epoch=12 train_f1=0.7851
epoch=13 train_f1=0.7759
epoch=14 train_f1=0.8598
epoch=15 train_f1=0.8937
epoch=16 train_f1=0.8971
epoch=17 train_f1=0.9025
epoch=18 train_f1=0.9082
epoch=19 train_f1=0.9340
epoch=20 train_f1=0.9199
epoch=21 train_f1=0.9681
epoch=22 train_f1=0.9700
epoch=23 train_f1=0.9480
epoch=24 train_f1=0.9519
epoch=25 train_f1=0.9700
epoch=26 train_f1=0.9535
epoch=27 train_f1=0.9478
epoch=28 train_f1=0.9733
epoch=29 train_f1=0.9584
epoch=30 train_f1=0.9637
epoch=31 train_f1=0.9680
epoch=32 train_f1=0.9835
epoch=33 train_f1=0.9734
epoch=34 train_f1=0.9852
epoch=35 train_f1=0.9678
epoch=36 train_f1=0.9881
epoch=37 train_f1=0.9685
epoch=38 train_f1=0.9490
epoch=39 train_f1=0.9817
epoch=40 train_f1=0.9664
epoch=41 train_f1=0.9801
epoch=42 train_f1=0.9765
epoch=43 train_f1=0.9754
epoch=44 train_f1=0.9755
epoch=45 train_f1=0.9912
epoch=46 train_f1=0.9870
epoch=47 train_f1=0.9910
epoch=48 train_f1=0.9889
epoch=49 train_f1=0.9847
epoch=50 train_f1=0.9799
