accuracy,macro_f1,mae,auc,sensitivity,specificity,precision_class0,precision_class1,recall_class0,recall_class1,f1_class0,f1_class1,experiment_name,resolution,seed,checkpoint,epochs_completed,training_seconds,run_result_path
0.6763285024154589,0.6194957337649867,0.32367149758454106,0.6531905594405595,0.7692307692307693,0.46875,0.47619047619047616,0.7638888888888888,0.46875,0.7692307692307693,0.47244094488188976,0.7665505226480837,step1_resolution_M_binary_256,256,42,last.pth,50,104.13619895651937,outputs/step1_resolution/runs/M_binary_res256_seed42/run_result.json
0.714975845410628,0.5844929064743306,0.28502415458937197,0.6135817307692308,0.9230769230769231,0.25,0.5925925925925926,0.7333333333333333,0.25,0.9230769230769231,0.3516483516483517,0.8173374613003096,step1_resolution_M_binary_256,256,3407,last.pth,50,103.6459570787847,outputs/step1_resolution/runs/M_binary_res256_seed3407/run_result.json
0.7342995169082126,0.6243194192377495,0.26570048309178745,0.7020869755244756,0.9230769230769231,0.3125,0.6451612903225806,0.75,0.3125,0.9230769230769231,0.42105263157894735,0.8275862068965517,step1_resolution_M_binary_256,256,2026,last.pth,50,104.22627095133066,outputs/step1_resolution/runs/M_binary_res256_seed2026/run_result.json
0.7004830917874396,0.6287317750520712,0.2995169082125604,0.6588723776223777,0.8251748251748252,0.421875,0.5192307692307693,0.7612903225806451,0.421875,0.8251748251748252,0.46551724137931033,0.7919463087248322,step1_resolution_M_binary_384,384,42,last.pth,50,172.85030692443252,outputs/step1_resolution/runs/M_binary_res384_seed42/run_result.json
0.7246376811594203,0.6363384188626907,0.2753623188405797,0.6117788461538463,0.8811188811188811,0.375,0.5853658536585366,0.7590361445783133,0.375,0.8811188811188811,0.45714285714285713,0.8155339805825242,step1_resolution_M_binary_384,384,3407,last.pth,50,170.04671543091536,outputs/step1_resolution/runs/M_binary_res384_seed3407/run_result.json
0.7198067632850241,0.5668831168831169,0.28019323671497587,0.700666520979021,0.951048951048951,0.203125,0.65,0.7272727272727273,0.203125,0.951048951048951,0.30952380952380953,0.8242424242424242,step1_resolution_M_binary_384,384,2026,last.pth,50,170.24111480265856,outputs/step1_resolution/runs/M_binary_res384_seed2026/run_result.json
0.6521739130434783,0.585539488320356,0.34782608695652173,0.6714379370629371,0.7622377622377622,0.40625,0.43333333333333335,0.7414965986394558,0.40625,0.7622377622377622,0.41935483870967744,0.7517241379310344,step1_resolution_M_binary_512,512,42,last.pth,50,282.41194032505155,outputs/step1_resolution/runs/M_binary_res512_seed42/run_result.json
0.7053140096618358,0.6058127555957918,0.2946859903381642,0.6079545454545454,0.8741258741258742,0.328125,0.5384615384615384,0.7440476190476191,0.328125,0.8741258741258742,0.4077669902912621,0.8038585209003215,step1_resolution_M_binary_512,512,3407,last.pth,50,281.22752252593637,outputs/step1_resolution/runs/M_binary_res512_seed3407/run_result.json
0.7101449275362319,0.5989408421596487,0.2898550724637681,0.6551027097902098,0.8951048951048951,0.296875,0.5588235294117647,0.7398843930635838,0.296875,0.8951048951048951,0.3877551020408163,0.810126582278481,step1_resolution_M_binary_512,512,2026,last.pth,50,280.5904837176204,outputs/step1_resolution/runs/M_binary_res512_seed2026/run_result.json
0.714975845410628,0.6368744982606369,0.28502415458937197,0.6769012237762237,0.8531468531468531,0.40625,0.5531914893617021,0.7625,0.40625,0.8531468531468531,0.46846846846846846,0.8052805280528053,step1_resolution_M_binary_768,768,42,last.pth,50,596.9164599329233,outputs/step1_resolution/runs/M_binary_res768_seed42/run_result.json
0.6859903381642513,0.5560138590991586,0.3140096618357488,0.615548513986014,0.8881118881118881,0.234375,0.4838709677419355,0.7215909090909091,0.234375,0.8881118881118881,0.3157894736842105,0.7962382445141066,step1_resolution_M_binary_768,768,3407,last.pth,50,598.1766673736274,outputs/step1_resolution/runs/M_binary_res768_seed3407/run_result.json
0.7294685990338164,0.5959286112660346,0.27053140096618356,0.7407670454545454,0.9440559440559441,0.25,0.6666666666666666,0.7377049180327869,0.25,0.9440559440559441,0.36363636363636365,0.8282208588957055,step1_resolution_M_binary_768,768,2026,last.pth,50,593.1024736389518,outputs/step1_resolution/runs/M_binary_res768_seed2026/run_result.json
